panel,method,end,d,probe_family,target,retention_pct
a,vTAP,,768,Linear,A,107.0
a,vTAP,,768,Linear,A',72.0
a,vTAP,,768,Linear,B_1,13.0
a,vTAP,,768,Linear,B_2,1.0
a,vTAP,,768,Linear,B_3,21.0
a,vTAP,,768,MLP,A,105.0
a,vTAP,,768,MLP,A',70.0
a,vTAP,,768,MLP,B_1,19.0
a,vTAP,,768,MLP,B_2,9.0
a,vTAP,,768,MLP,B_3,26.0
a,vTAP,,768,RFF,A,105.0
a,vTAP,,768,RFF,A',71.0
a,vTAP,,768,RFF,B_1,20.0
a,vTAP,,768,RFF,B_2,8.0
a,vTAP,,768,RFF,B_3,25.0
a,vTAP,,768,GBM,A,117.0
a,vTAP,,768,GBM,A',75.0
a,vTAP,,768,GBM,B_1,18.0
a,vTAP,,768,GBM,B_2,9.0
a,vTAP,,768,GBM,B_3,23.0
a,vTAP,,768,kNN,A,143.0
a,vTAP,,768,kNN,A',64.0
a,vTAP,,768,kNN,B_1,18.0
a,vTAP,,768,kNN,B_2,1.0
a,vTAP,,768,kNN,B_3,12.0
b,VIB,utility end,16,Linear,A,100.0
b,VIB,utility end,16,Linear,A',77.0
b,VIB,utility end,16,Linear,B_1,29.0
b,VIB,utility end,16,Linear,B_2,29.0
b,VIB,utility end,16,Linear,B_3,43.0
b,VIB,utility end,16,MLP,A,98.0
b,VIB,utility end,16,MLP,A',73.0
b,VIB,utility end,16,MLP,B_1,35.0
b,VIB,utility end,16,MLP,B_2,37.0
b,VIB,utility end,16,MLP,B_3,52.0
b,VIB,utility end,16,RFF,A,98.0
b,VIB,utility end,16,RFF,A',72.0
b,VIB,utility end,16,RFF,B_1,34.0
b,VIB,utility end,16,RFF,B_2,36.0
b,VIB,utility end,16,RFF,B_3,47.0
b,VIB,utility end,16,GBM,A,111.0
b,VIB,utility end,16,GBM,A',82.0
b,VIB,utility end,16,GBM,B_1,29.0
b,VIB,utility end,16,GBM,B_2,29.0
b,VIB,utility end,16,GBM,B_3,45.0
b,VIB,utility end,16,kNN,A,130.0
b,VIB,utility end,16,kNN,A',60.0
b,VIB,utility end,16,kNN,B_1,26.0
b,VIB,utility end,16,kNN,B_2,4.0
b,VIB,utility end,16,kNN,B_3,27.0
c,VIB,privacy end,2,Linear,A,93.0
c,VIB,privacy end,2,Linear,A',11.0
c,VIB,privacy end,2,Linear,B_1,12.0
c,VIB,privacy end,2,Linear,B_2,3.0
c,VIB,privacy end,2,Linear,B_3,19.0
c,VIB,privacy end,2,MLP,A,92.0
c,VIB,privacy end,2,MLP,A',25.0
c,VIB,privacy end,2,MLP,B_1,13.0
c,VIB,privacy end,2,MLP,B_2,9.0
c,VIB,privacy end,2,MLP,B_3,25.0
c,VIB,privacy end,2,RFF,A,92.0
c,VIB,privacy end,2,RFF,A',24.0
c,VIB,privacy end,2,RFF,B_1,15.0
c,VIB,privacy end,2,RFF,B_2,8.0
c,VIB,privacy end,2,RFF,B_3,24.0
c,VIB,privacy end,2,GBM,A,104.0
c,VIB,privacy end,2,GBM,A',24.0
c,VIB,privacy end,2,GBM,B_1,11.0
c,VIB,privacy end,2,GBM,B_2,5.0
c,VIB,privacy end,2,GBM,B_3,22.0
c,VIB,privacy end,2,kNN,A,128.0
c,VIB,privacy end,2,kNN,A',7.0
c,VIB,privacy end,2,kNN,B_1,8.0
c,VIB,privacy end,2,kNN,B_2,0.0
c,VIB,privacy end,2,kNN,B_3,9.0
d,ADV,utility end,8,Linear,A,102.0
d,ADV,utility end,8,Linear,A',71.0
d,ADV,utility end,8,Linear,B_1,9.0
d,ADV,utility end,8,Linear,B_2,10.0
d,ADV,utility end,8,Linear,B_3,50.0
d,ADV,utility end,8,MLP,A,99.0
d,ADV,utility end,8,MLP,A',73.0
d,ADV,utility end,8,MLP,B_1,28.0
d,ADV,utility end,8,MLP,B_2,29.0
d,ADV,utility end,8,MLP,B_3,67.0
d,ADV,utility end,8,RFF,A,100.0
d,ADV,utility end,8,RFF,A',71.0
d,ADV,utility end,8,RFF,B_1,26.0
d,ADV,utility end,8,RFF,B_2,25.0
d,ADV,utility end,8,RFF,B_3,61.0
d,ADV,utility end,8,GBM,A,109.0
d,ADV,utility end,8,GBM,A',79.0
d,ADV,utility end,8,GBM,B_1,22.0
d,ADV,utility end,8,GBM,B_2,21.0
d,ADV,utility end,8,GBM,B_3,57.0
d,ADV,utility end,8,kNN,A,125.0
d,ADV,utility end,8,kNN,A',68.0
d,ADV,utility end,8,kNN,B_1,20.0
d,ADV,utility end,8,kNN,B_2,6.0
d,ADV,utility end,8,kNN,B_3,39.0
e,ADV,privacy end,2,Linear,A,92.0
e,ADV,privacy end,2,Linear,A',15.0
e,ADV,privacy end,2,Linear,B_1,9.0
e,ADV,privacy end,2,Linear,B_2,2.0
e,ADV,privacy end,2,Linear,B_3,18.0
e,ADV,privacy end,2,MLP,A,90.0
e,ADV,privacy end,2,MLP,A',29.0
e,ADV,privacy end,2,MLP,B_1,10.0
e,ADV,privacy end,2,MLP,B_2,11.0
e,ADV,privacy end,2,MLP,B_3,23.0
e,ADV,privacy end,2,RFF,A,90.0
e,ADV,privacy end,2,RFF,A',28.0
e,ADV,privacy end,2,RFF,B_1,10.0
e,ADV,privacy end,2,RFF,B_2,10.0
e,ADV,privacy end,2,RFF,B_3,20.0
e,ADV,privacy end,2,GBM,A,103.0
e,ADV,privacy end,2,GBM,A',27.0
