probe_family,target,acc_raw_U,acc_Uhat,retention_pct,delta_acc
Lin.,A,0.8508,0.8736,103.5,0.0227
MLP,A,0.8665,0.8859,102.9,0.0194
RFF,A,0.8696,0.8781,101.3,0.0086
GBM,A,0.7837,0.8503,111.4,0.0666
kNN,A,0.6684,0.7341,114.0,0.0657
mean of 5,A,0.8078,0.8444,106.6,0.0366
Lin.,B_1,0.9368,0.5642,14.7,-0.3726
MLP,B_1,0.9358,0.5609,14.0,-0.3749
RFF,B_1,0.9411,0.5562,12.7,-0.3849
GBM,B_1,0.9387,0.5564,12.9,-0.3823
kNN,B_1,0.9128,0.5367,8.9,-0.3762
mean of 5,B_1,0.933,0.5549,12.6,-0.3782
Lin.,B_2,0.8185,0.3333,0.0,-0.4852
MLP,B_2,0.8088,0.3538,4.3,-0.455
RFF,B_2,0.8405,0.3333,0.0,-0.5072
GBM,B_2,0.8148,0.3349,0.3,-0.4799
kNN,B_2,0.7126,0.3333,0.0,-0.3793
mean of 5,B_2,0.7991,0.3377,0.9,-0.4613
Lin.,B_3,0.7586,0.2269,4.8,-0.5317
MLP,B_3,0.7567,0.2385,6.9,-0.5182
RFF,B_3,0.7846,0.2152,2.6,-0.5695
GBM,B_3,0.7502,0.2261,4.7,-0.524
kNN,B_3,0.6924,0.2061,1.2,-0.4863
mean of 5,B_3,0.7485,0.2226,4.1,-0.5259
