f,stage,step,total_rel_l2,stage_rel_l2,share_pct
4,1,U->~U,0.1302777053707997,0.0050124874133993,3.85
4,2,~U->~Z,0.1302777053707997,0.0268120699678118,20.58
4,3,~Z->^U_f,0.1302777053707997,0.0984531479895885,75.57
6,1,U->~U,0.0326642364884981,0.0012598269762882,3.86
6,2,~U->~Z,0.0326642364884981,0.005807692745232,17.78
6,3,~Z->^U_f,0.0326642364884981,0.0255967167669778,78.36
8,1,U->~U,0.0082645321310102,0.0003132897143143,3.79
8,2,~U->~Z,0.0082645321310102,0.0014164278584984,17.14
8,3,~Z->^U_f,0.0082645321310102,0.0065348145581974,79.07
10,1,U->~U,0.0020758344892666,7.827848794945471e-05,3.77
10,2,~U->~Z,0.0020758344892666,0.0003833598616813,18.47
10,3,~Z->^U_f,0.0020758344892666,0.0016141961396358,77.76
12,1,U->~U,0.0005080560615432,1.9592476172985704e-05,3.86
12,2,~U->~Z,0.0005080560615432,7.84608275410511e-05,15.44
12,3,~Z->^U_f,0.0005080560615432,0.0004100027578292,80.7
14,1,U->~U,0.0001280924231124,4.924781765157132e-06,3.84
14,2,~U->~Z,0.0001280924231124,2.1651105484066184e-05,16.9
14,3,~Z->^U_f,0.0001280924231124,0.0001015165358632,79.25
16,1,U->~U,3.202478469132892e-05,1.2241157672869974e-06,3.82
16,2,~U->~Z,3.202478469132892e-05,4.9551175265813065e-06,15.47
16,3,~Z->^U_f,3.202478469132892e-05,2.5845551397460617e-05,80.7
18,1,U->~U,7.816918072474828e-06,3.06588610342011e-07,3.92
18,2,~U->~Z,7.816918072474828e-06,1.049576174834318e-06,13.43
18,3,~Z->^U_f,7.816918072474828e-06,6.460753287298499e-06,82.65
20,1,U->~U,2.049328495753207e-06,7.683205250369555e-08,3.75
20,2,~U->~Z,2.049328495753207e-06,4.697953748309574e-07,22.92
20,3,~Z->^U_f,2.049328495753207e-06,1.5027010684185538e-06,73.33
22,1,U->~U,5.09305217958434e-07,1.9909324086106243e-08,3.91
22,2,~U->~Z,5.09305217958434e-07,1.0664796529966385e-07,20.94
22,3,~Z->^U_f,5.09305217958434e-07,3.827479285726639e-07,75.15
24,1,U->~U,1.2754707705664264e-07,4.4096806180673346e-09,3.46
24,2,~U->~Z,1.2754707705664264e-07,2.7285080146406563e-08,21.39
24,3,~Z->^U_f,1.2754707705664264e-07,9.585231629216877e-08,75.15
