dataset,target,target_type,family,cfg,seed,note,method,k,compat_on_U,compat_on_Uhat,test_bal
rafdb,compat_A,compat,lr,wd=1e-05,0,compat_5fam,lda_shrink,4,0.8469439511013894,0.8730034491237577,0.8730034491237577
rafdb,compat_A,compat,lr,wd=1e-05,0,compat_5fam,vib_b1,4,0.8469439511013894,0.8572149588989205,0.8572149588989205
rafdb,compat_A,compat,lr,wd=1e-05,0,compat_5fam,adv2attr_lam03,4,0.8469439511013894,0.8443504628501698,0.8443504628501698
rafdb,compat_A,compat,lr,wd=1e-05,0,compat_5fam,leace2attr,768,0.8469439511013894,0.8325900649299095,0.8325900649299095
rafdb,compat_A,compat,lr,wd=0.001,0,compat_5fam,lda_shrink,4,0.8469439511013894,0.8730034491237577,0.8730034491237577
rafdb,compat_A,compat,lr,wd=0.001,0,compat_5fam,vib_b1,4,0.8469439511013894,0.8572149588989205,0.8572149588989205
rafdb,compat_A,compat,lr,wd=0.001,0,compat_5fam,adv2attr_lam03,4,0.8469439511013894,0.8443504628501698,0.8443504628501698
rafdb,compat_A,compat,lr,wd=0.001,0,compat_5fam,leace2attr,768,0.8469439511013894,0.8325900649299095,0.8325900649299095
rafdb,compat_A,compat,lr,wd=0.1,0,compat_5fam,lda_shrink,4,0.8486029831494364,0.8732975667708166,0.8732975667708166
rafdb,compat_A,compat,lr,wd=0.1,0,compat_5fam,vib_b1,4,0.8486029831494364,0.8560572919538769,0.8560572919538769
rafdb,compat_A,compat,lr,wd=0.1,0,compat_5fam,adv2attr_lam03,4,0.8486029831494364,0.8438441337362457,0.8438441337362457
rafdb,compat_A,compat,lr,wd=0.1,0,compat_5fam,leace2attr,768,0.8486029831494364,0.8360063442024808,0.8360063442024808
rafdb,compat_A,compat,mlp,"h=256,seed=0",0,compat_5fam,lda_shrink,4,0.8582902329227377,0.8763317645916411,0.8763317645916411
