dataset,target,family,cfg,seed,f,method,note,on_U,on_Uhat_real,on_Uhat_f,rel_err,delta
rafdb,compat_A,lr,wd=1e-05,0,16,lda_shrink,compat_quant,0.8469439511013894,0.8730034491237577,0.8731722254950658,3.198943260514137e-05,0.000168776371308077
rafdb,compat_A,lr,wd=0.001,0,16,lda_shrink,compat_quant,0.8469439511013894,0.8730034491237577,0.8730034491237577,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=0.1,0,16,lda_shrink,compat_quant,0.8486029831494364,0.8732975667708166,0.8732975667708166,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=0",0,16,lda_shrink,compat_quant,0.8582902329227377,0.8763317645916411,0.8763317645916411,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=1",0,16,lda_shrink,compat_quant,0.8648555448218793,0.8868746376302499,0.8868746376302499,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=0",0,16,lda_shrink,compat_quant,0.8629189592212727,0.8829423722503152,0.8829423722503152,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=1",0,16,lda_shrink,compat_quant,0.8649849863102981,0.8831692871477042,0.8831692871477042,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x0.5,0,16,lda_shrink,compat_quant,0.865322607304647,0.8808670653723277,0.8808670653723277,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x2.0,0,16,lda_shrink,compat_quant,0.8030417910942089,0.8713627912683958,0.8713627912683958,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=None,0,16,lda_shrink,compat_quant,0.7796156926793587,0.8500563780535053,0.8500563780535053,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=6,0,16,lda_shrink,compat_quant,0.778845624362251,0.8468553311685814,0.8468553311685814,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=15,0,16,lda_shrink,compat_quant,0.6683565184802756,0.7340507358176069,0.7340507358176069,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=50,0,16,lda_shrink,compat_quant,0.60532359754758,0.7187226717838822,0.7187226717838822,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=1e-05,1,16,lda_shrink,compat_quant,0.8504888888817904,0.8748271573304447,0.8748271573304447,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=0.001,1,16,lda_shrink,compat_quant,0.8504888888817904,0.8748271573304447,0.8748271573304447,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=0.1,1,16,lda_shrink,compat_quant,0.8525623746286441,0.8749524986061955,0.8749524986061955,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=0",1,16,lda_shrink,compat_quant,0.8648555448218793,0.8868746376302499,0.8868746376302499,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=1",1,16,lda_shrink,compat_quant,0.86632868484735,0.8827498282248947,0.8827498282248947,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=0",1,16,lda_shrink,compat_quant,0.8649849863102981,0.8831692871477042,0.8831692871477042,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=1",1,16,lda_shrink,compat_quant,0.8637299679870297,0.8820550552982178,0.8820550552982178,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x0.5,1,16,lda_shrink,compat_quant,0.8658208849908918,0.8779710356636155,0.8779710356636155,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x2.0,1,16,lda_shrink,compat_quant,0.8178516009040188,0.868848736835355,0.868848736835355,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=None,1,16,lda_shrink,compat_quant,0.7793010597227894,0.8569207144673576,0.8569207144673576,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=6,1,16,lda_shrink,compat_quant,0.7971115998842905,0.850575502218933,0.850575502218933,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=15,1,16,lda_shrink,compat_quant,0.6683565184802756,0.7340507358176069,0.7340507358176069,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=50,1,16,lda_shrink,compat_quant,0.60532359754758,0.7187226717838822,0.7187226717838822,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=1e-05,2,16,lda_shrink,compat_quant,0.8497703070879192,0.8715353143222897,0.8715353143222897,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=0.001,2,16,lda_shrink,compat_quant,0.8497703070879192,0.8715353143222897,0.8715353143222897,3.198943260514137e-05,0.0
rafdb,compat_A,lr,wd=0.1,2,16,lda_shrink,compat_quant,0.8513662365989643,0.8724373347049108,0.8724373347049108,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=0",2,16,lda_shrink,compat_quant,0.86632868484735,0.8827498282248947,0.8827498282248947,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=256,seed=1",2,16,lda_shrink,compat_quant,0.8682324892115612,0.87866590212492,0.87866590212492,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=0",2,16,lda_shrink,compat_quant,0.8637299679870297,0.8820550552982178,0.8820550552982178,3.198943260514137e-05,0.0
rafdb,compat_A,mlp,"h=1024,seed=1",2,16,lda_shrink,compat_quant,0.8652603003141651,0.8839894013501318,0.8839894013501318,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x0.5,2,16,lda_shrink,compat_quant,0.8776198621466176,0.8755853132507495,0.8755853132507495,3.198943260514137e-05,0.0
rafdb,compat_A,rff,gamma x2.0,2,16,lda_shrink,compat_quant,0.8266143134340194,0.8626760873209228,0.8626760873209228,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=None,2,16,lda_shrink,compat_quant,0.7706186543091852,0.8381332358090224,0.8381332358090224,3.198943260514137e-05,0.0
rafdb,compat_A,tree,depth=6,2,16,lda_shrink,compat_quant,0.7743830483291466,0.8440444852675595,0.8440444852675595,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=15,2,16,lda_shrink,compat_quant,0.6683565184802756,0.7340507358176069,0.7340507358176069,3.198943260514137e-05,0.0
rafdb,compat_A,knn,k=50,2,16,lda_shrink,compat_quant,0.60532359754758,0.7187226717838822,0.7187226717838822,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=1e-05,0,16,lda_shrink,compat_quant,0.9368687542626694,0.5637072621059811,0.5637072621059811,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=0.001,0,16,lda_shrink,compat_quant,0.9368687542626694,0.5637072621059811,0.5637072621059811,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=0.1,0,16,lda_shrink,compat_quant,0.9364684340064644,0.564107582362186,0.564107582362186,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=256,seed=0",0,16,lda_shrink,compat_quant,0.9320649111882098,0.5522380867657088,0.5522380867657088,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=256,seed=1",0,16,lda_shrink,compat_quant,0.933733406478269,0.5616530261246034,0.5616530261246034,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=1024,seed=0",0,16,lda_shrink,compat_quant,0.9341001196018544,0.5519630519230199,0.5519630519230199,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=1024,seed=1",0,16,lda_shrink,compat_quant,0.9359519714537061,0.5618124128932775,0.5611034506617639,3.198943260514137e-05,-0.0007089622315136213
rafdb,compat_B_gender,rff,gamma x0.5,0,16,lda_shrink,compat_quant,0.9417642756180253,0.5597769573683639,0.5594683153930552,3.198943260514137e-05,-0.00030864197530866555
rafdb,compat_B_gender,rff,gamma x2.0,0,16,lda_shrink,compat_quant,0.9207368363826864,0.5314696201405569,0.5317782621158655,3.198943260514137e-05,0.00030864197530866555
rafdb,compat_B_gender,tree,depth=None,0,16,lda_shrink,compat_quant,0.937052110824462,0.5529739841255721,0.5529739841255721,3.198943260514137e-05,0.0
rafdb,compat_B_gender,tree,depth=6,0,16,lda_shrink,compat_quant,0.9384119641392126,0.5558068677163953,0.5558068677163953,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=15,0,16,lda_shrink,compat_quant,0.9101970465261098,0.536655497237296,0.536655497237296,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=50,0,16,lda_shrink,compat_quant,0.9128495388903715,0.5316040486710356,0.5316040486710356,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=1e-05,1,16,lda_shrink,compat_quant,0.9367770759817731,0.5642909389239787,0.5642909389239787,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=0.001,1,16,lda_shrink,compat_quant,0.9367770759817731,0.5642909389239787,0.5642909389239787,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=0.1,1,16,lda_shrink,compat_quant,0.9364684340064644,0.564507902618391,0.564507902618391,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=256,seed=0",1,16,lda_shrink,compat_quant,0.933733406478269,0.5616530261246034,0.5616530261246034,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=256,seed=1",1,16,lda_shrink,compat_quant,0.9322818748826222,0.5517858731429588,0.5517858731429588,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=1024,seed=0",1,16,lda_shrink,compat_quant,0.9359519714537061,0.5618124128932775,0.5611034506617639,3.198943260514137e-05,-0.0007089622315136213
rafdb,compat_B_gender,mlp,"h=1024,seed=1",1,16,lda_shrink,compat_quant,0.9345340469906789,0.5590927062637765,0.5590927062637765,3.198943260514137e-05,0.0
rafdb,compat_B_gender,rff,gamma x0.5,1,16,lda_shrink,compat_quant,0.9437658768990501,0.5599267067975368,0.5599267067975368,3.198943260514137e-05,0.0
rafdb,compat_B_gender,rff,gamma x2.0,1,16,lda_shrink,compat_quant,0.9294949539878816,0.5438674396307169,0.5438674396307169,3.198943260514137e-05,0.0
rafdb,compat_B_gender,tree,depth=None,1,16,lda_shrink,compat_quant,0.9381950004448003,0.5575363994899624,0.5575363994899624,3.198943260514137e-05,0.0
rafdb,compat_B_gender,tree,depth=6,1,16,lda_shrink,compat_quant,0.9378863584694916,0.5569435795550021,0.5569435795550021,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=15,1,16,lda_shrink,compat_quant,0.9101970465261098,0.536655497237296,0.536655497237296,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=50,1,16,lda_shrink,compat_quant,0.9128495388903715,0.5316040486710356,0.5316040486710356,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=1e-05,2,16,lda_shrink,compat_quant,0.9367770759817731,0.564107582362186,0.564107582362186,3.198943260514137e-05,0.0
rafdb,compat_B_gender,lr,wd=0.001,2,16,lda_shrink,compat_quant,0.9367770759817731,0.564107582362186,0.564107582362186,3.198943260514137e-05,0.0
