dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=1e-05,0.980045967404931,0.9908739828839976,0.8991769547325102,0.8469439511013894,1.5335004329681396
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=0.001,0.980045967404931,0.9908739828839976,0.8991769547325102,0.8469439511013894,0.1789977550506591
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=0.1,0.9783744254074384,0.989979435584178,0.9012345679012346,0.8486029831494364,0.1814994812011718
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=256,seed=0",1.0,1.0,0.9242798353909464,0.8582902329227377,1.3635001182556152
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=256,seed=1",1.0,1.0,0.9209876543209876,0.8648555448218793,1.2974998950958252
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=1024,seed=0",1.0,1.0,0.9242798353909464,0.8629189592212727,2.359847068786621
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=1024,seed=1",1.0,1.0,0.9222222222222224,0.8649849863102981,2.455817461013794
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,lr,wd=1e-05,0.9951834012597258,0.9967204843592332,0.9169278996865204,0.9071391213389122,0.1850459575653076
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,lr,wd=0.001,0.9951834012597258,0.9967204843592332,0.9169278996865204,0.9071391213389122,0.1685009002685547
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,lr,wd=0.1,0.9933308632826972,0.9954591321897074,0.9184952978056428,0.9081851464435148,0.1730005741119384
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,mlp,"h=256,seed=0",1.0,1.0,0.9482758620689656,0.9322175732217574,0.5294997692108154
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,mlp,"h=256,seed=1",1.0,1.0,0.9482758620689656,0.93013859832636,0.5364997386932373
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,mlp,"h=1024,seed=0",1.0,1.0,0.945141065830721,0.9259675732217574,0.7432553768157959
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,Aprime_heldout,mlp,"h=1024,seed=1",1.0,1.0,0.9467084639498432,0.92701359832636,0.7344999313354492
rafdb,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_gender,lr,wd=1e-05,0.9499956593454292,0.9500171606876744,0.9376089229696758,0.9368687542626694,0.2008359432220459
