dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,lr,wd=1e-05,0.9686585875470122,0.9835692809627844,0.8465020576131688,0.7755989525228764,0.3948359489440918
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,lr,wd=0.001,0.9686585875470122,0.9835692809627844,0.8465020576131688,0.7755989525228764,0.18102288246154785
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,lr,wd=0.1,0.9662557459256164,0.9820419727904334,0.845679012345679,0.7749476146917569,0.16187381744384766
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,mlp,"h=256,seed=0",1.0,1.0,0.8732510288065843,0.7832572468669541,1.329101324081421
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,mlp,"h=256,seed=1",1.0,1.0,0.8765432098765432,0.7845443965134982,1.204516887664795
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,mlp,"h=1024,seed=0",1.0,1.0,0.8777777777777778,0.7832066082117833,2.682464838027954
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,mlp,"h=1024,seed=1",1.0,1.0,0.8794238683127572,0.781373284224739,2.696118116378784
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,rff,gamma x0.5,0.885499373171751,0.8870165601175053,0.848559670781893,0.7772299375301281,1.0171985626220703
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,rff,gamma x2.0,0.9178854993731718,0.941479886509,0.828395061728395,0.7428607154064345,0.3550081253051758
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,tree,"depth=None,it=36",0.961450062682825,0.9495909787621246,0.8358024691358025,0.6963811433309962,88.75937056541443
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,tree,"depth=6,it=39",0.9630171333054743,0.9505408592150942,0.8308641975308642,0.7060708388656562,86.52318167686462
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,knn,k=15,1.0,1.0,0.7884773662551441,0.6267059735971561,1.5098745822906494
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,A_kept,knn,k=50,1.0,1.0,0.7810699588477367,0.6073599359332054,1.5789380073547363
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,lr,wd=1e-05,0.9305495268686518,0.9306054316435579,0.8989194841408156,0.8984839723630756,0.3890378475189209
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,lr,wd=0.001,0.9304627137772377,0.9305292353619365,0.8989194841408156,0.8984839723630756,0.18000054359436035
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,lr,wd=0.1,0.930636339960066,0.930780312639323,0.8999651446497037,0.8995932548507942,0.1789994239807129
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,mlp,"h=256,seed=0",1.0,1.0,0.9048448936911816,0.9027224248534631,1.504659652709961
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,mlp,"h=256,seed=1",1.0,1.0,0.9034506796793308,0.9009377872668505,1.4504735469818115
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,mlp,"h=1024,seed=0",1.0,1.0,0.905542000697107,0.9034313870849766,3.1881096363067627
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,mlp,"h=1024,seed=1",1.0,1.0,0.9044963401882189,0.902047069754569,3.194836378097534
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,rff,gamma x0.5,0.9084121885580345,0.9094977396896455,0.8992680376437783,0.8999844319900365,1.2490942478179932
rafdb_dinol,dinov2-l14,raw_U,1024,1024,4096,0,,B_gender,rff,gamma x2.0,0.9261220592065283,0.9268181059950072,0.8912513070756362,0.8916021706253892,0.4059720039367676
