dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=1e-05,0.9499956593454292,0.9500171606876744,0.9376089229696758,0.9368687542626694,1.9381959438323968
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=0.001,0.9500824724368436,0.950093356969296,0.9376089229696758,0.9368687542626694,0.1769981384277343
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,lr,wd=0.1,0.9500824724368436,0.950118028147832,0.9372603694667132,0.9364684340064644,0.1759998798370361
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=256,seed=0",1.0,1.0,0.9334262809341234,0.9320649111882098,1.542923927307129
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=256,seed=1",1.0,1.0,0.9355176019518996,0.933733406478269,1.4816057682037354
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=1024,seed=0",1.0,1.0,0.9355176019518996,0.9341001196018544,2.5709872245788574
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,A_kept,mlp,"h=1024,seed=1",1.0,1.0,0.9376089229696758,0.935951971453706,2.570566177368164
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,lr,wd=1e-05,0.9572162007986308,0.9725750730822148,0.8510430247718384,0.7921811641776817,0.1746256351470947
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,lr,wd=0.001,0.9572162007986308,0.9725750730822148,0.8513689700130378,0.7923912482112951,0.1778230667114257
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,lr,wd=0.1,0.9556678347322956,0.9711285065057564,0.8510430247718384,0.7937247707112876,0.1720001697540283
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,mlp,"h=256,seed=0",1.0,1.0,0.8836375488917861,0.8261860069070625,1.4540483951568604
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,mlp,"h=256,seed=1",1.0,1.0,0.8833116036505867,0.8217354064178342,1.452240228652954
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,mlp,"h=1024,seed=0",1.0,1.0,0.8829856584093873,0.8199224879145096,2.732627868652344
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,mlp,"h=1024,seed=1",1.0,1.0,0.8878748370273793,0.8299247160728802,2.7141647338867188
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,rff,gamma x0.5,0.900008149295086,0.9090989790836956,0.8575619295958279,0.8201360392920561,1.168677806854248
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,rff,gamma x2.0,0.9211963165186212,0.9463191184473584,0.8168187744458931,0.7609303653456422,0.3920016288757324
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,tree,"depth=None,it=52",0.9727813544128432,0.9602854123736844,0.8243155149934811,0.7241310383574414,79.18477582931519
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,tree,"depth=6,it=53",0.9722109037568252,0.961432067297576,0.8265971316818774,0.7241972854075228,78.80353212356567
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,knn,k=15,1.0,1.0,0.749348109517601,0.6251656814294073,1.893585205078125
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_emotion,knn,k=50,1.0,1.0,0.7196870925684485,0.5653623599955052,1.834523677825928
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,lr,wd=1e-05,0.8865618124032271,0.9074788549923904,0.8461538461538461,0.8164966185050145,0.3888726234436035
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,lr,wd=0.001,0.8864803194523674,0.9074433600149296,0.8461538461538461,0.8164966185050145,0.1796534061431884
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,lr,wd=0.1,0.8858283758454893,0.9067428725753248,0.8471316818774446,0.8180186643930102,0.1784043312072754
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=256,seed=0",1.0,1.0,0.8940677966101694,0.8029303397047003,1.4844043254852295
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=256,seed=1",1.0,1.0,0.8953715775749674,0.8047801920437062,1.4659173488616943
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=1024,seed=0",1.0,1.0,0.8986310299869622,0.8107805520839753,2.7294933795928955
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,mlp,"h=1024,seed=1",1.0,1.0,0.8999348109517601,0.8078715789033323,2.7329838275909424
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,rff,gamma x0.5,0.8846874745334529,0.879868540768828,0.871251629726206,0.8395067662077075,0.7555475234985352
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,rff,gamma x2.0,0.9092168527422378,0.923333708203696,0.8578878748370273,0.8115348309530249,0.4311189651489258
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,tree,"depth=None,it=37",0.9620242848993562,0.963502735736817,0.8865710560625815,0.8077279474187358,64.57082843780518
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,tree,"depth=6,it=37",0.9578681444055088,0.9616924918863218,0.885593220338983,0.8142645329226431,62.82376527786255
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,knn,k=15,1.0,1.0,0.8842894393741851,0.7126264836767305,1.775468349456787
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_race,knn,k=50,1.0,1.0,0.8735332464146024,0.6659997032456485,1.970642328262329
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=1e-05,0.8309021269660174,0.8866169701192537,0.7601043024771839,0.7565122059213225,0.3233623504638672
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=0.001,0.8309021269660174,0.8866169701192537,0.7601043024771839,0.7565122059213225,0.1760163307189941
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,lr,wd=0.1,0.830413169260859,0.8858885341618621,0.7633637548891786,0.7587986287877089,0.1773948669433593
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=256,seed=0",1.0,1.0,0.7988917861799217,0.7536254586768754,1.4636099338531494
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=256,seed=1",1.0,1.0,0.7940026075619296,0.7471938213701159,1.4455187320709229
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=1024,seed=0",1.0,1.0,0.803129074315515,0.7499967044941551,2.731555700302124
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,mlp,"h=1024,seed=1",1.0,1.0,0.795632333767927,0.7475533338917982,2.73221206665039
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,rff,gamma x0.5,0.8197375926982317,0.8623800020453384,0.7803129074315515,0.7918802292439528,0.7782492637634277
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,rff,gamma x2.0,0.8510308858283758,0.8962859110813284,0.7601043024771839,0.7630221459110718,0.4157450199127197
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,tree,"depth=None,it=34",0.9327683155407056,0.9458752928166724,0.7858539765319427,0.7468129936556974,68.97980499267578
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,tree,"depth=6,it=33",0.9198924293048651,0.9361480985087915,0.7822685788787483,0.743679947400417,68.85127091407776
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,knn,k=15,1.0,1.0,0.7894393741851369,0.6924107886999872,1.7910308837890625
rafdb_swap,clip-vit-l14,raw_U,768,768,3072,0,baseline,B_age,knn,k=50,1.0,1.0,0.7790091264667536,0.6553246814197251,1.8728396892547607
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,lr,wd=1e-05,0.9444396214949214,0.944449805664896,0.93168351341931,0.9308884144352518,0.3759980201721191
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,lr,wd=0.001,0.9444396214949214,0.944449805664896,0.93168351341931,0.9308884144352518,0.2260007858276367
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,lr,wd=0.1,0.944786873860578,0.9448286043269896,0.9323806204252352,0.9315973766667656,0.2176005840301513
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,mlp,"h=256,seed=0",1.0,1.0,0.932729173928198,0.9311725923949036,1.597342014312744
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,mlp,"h=256,seed=1",1.0,1.0,0.93168351341931,0.9296049185027032,1.551079273223877
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,mlp,"h=1024,seed=0",1.0,1.0,0.9334262809341234,0.9313314849410392,2.6067416667938232
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,A_kept,mlp,"h=1024,seed=1",1.0,1.0,0.933774834437086,0.9319151617590368,2.599395036697388
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,lr,wd=1e-05,0.1875967728791459,0.2004324076227389,0.1861147327249022,0.1922509636200041,0.2189974784851074
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,lr,wd=0.001,0.1876782658300057,0.2004623441572857,0.1857887874837027,0.1921304090690698,0.2100038528442382
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,lr,wd=0.1,0.1874337869774264,0.1997238614372481,0.1864406779661017,0.1940056528374632,0.2135555744171142
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,mlp,"h=256,seed=0",1.0,1.0,0.8067144719687093,0.7030796685107725,1.5073835849761963
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,mlp,"h=256,seed=1",1.0,1.0,0.8089960886571056,0.7092929573403163,1.5232441425323486
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,mlp,"h=1024,seed=0",1.0,1.0,0.8168187744458931,0.7190387848610837,2.757866621017456
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,mlp,"h=1024,seed=1",1.0,1.0,0.8230117340286832,0.725405130658146,2.7634427547454834
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,rff,gamma x0.5,0.6900823078803684,0.731514279081723,0.575619295958279,0.5203949532944502,1.3813822269439695
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,rff,gamma x2.0,0.7630184988998452,0.8362863703054312,0.5404172099087353,0.4688326215785106,0.4499967098236084
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,tree,"depth=None,it=47",0.9312199494743704,0.9106114372035314,0.6326597131681877,0.4596886155527999,77.74323415756226
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,tree,"depth=6,it=57",0.930079048162334,0.9114848013550187,0.621903520208605,0.4755797479516702,80.13359785079956
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,knn,k=15,1.0,1.0,0.6121251629726207,0.4206270654720287,1.5277161598205566
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_emotion,knn,k=50,1.0,1.0,0.560625814863103,0.338983363264532,1.589353084564209
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_race,lr,wd=1e-05,0.8807758128921849,0.9030602408940124,0.8441981747066493,0.8174769819490845,0.4733126163482666
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_race,lr,wd=0.001,0.8807758128921849,0.9030602408940124,0.8441981747066493,0.8174769819490845,0.2199923992156982
rafdb_swap,clip-vit-l14,leace,768,768,3072,0,,B_race,lr,wd=0.1,0.8801238692853068,0.9020197232551154,0.8435462842242504,0.8159106968864149,0.2175514698028564
