f,stage,stage_name,cum_rel_l2,cum_abs_max,inc_rel_l2,inc_abs_max
2,1,U 인코딩,0.02021948006217828,0.25947947957720974,0.02021948006217828,0.25947947957720974
2,2,W 인코딩 + 되돌림,0.08824783181679278,0.9259128155739766,0.0680283517546145,0.6664333359967669
2,3,M·b 인코딩 + 되돌림,0.21217661562071471,1.8908329614772426,0.12392878380392193,0.9649201459032659
4,1,U 인코딩,0.005012487413399323,0.06072853450125115,0.005012487413399323,0.06072853450125115
4,2,W 인코딩 + 되돌림,0.03182455738121115,0.2546565561379859,0.026812069967811825,0.19392802163673473
4,3,M·b 인코딩 + 되돌림,0.13027770537079972,0.7101842165915278,0.09845314798958857,0.45552766045354187
6,1,U 인코딩,0.0012598269762882713,0.01605386732372116,0.0012598269762882713,0.01605386732372116
6,2,W 인코딩 + 되돌림,0.007067519721520326,0.07121315543110462,0.005807692745232055,0.055159288107383464
6,3,M·b 인코딩 + 되돌림,0.03266423648849812,0.16587833544623715,0.0255967167669778,0.09466518001513252
8,1,U 인코딩,0.000313289714314377,0.003911269360656,0.000313289714314377,0.003911269360656
8,2,W 인코딩 + 되돌림,0.00172971757281282,0.01413810508719493,0.001416427858498443,0.01022683572653893
8,3,M·b 인코딩 + 되돌림,0.008264532131010227,0.04211335052558868,0.006534814558197407,0.027975245438393748
10,1,U 인코딩,7.827848794945471e-05,0.001119097195554808,7.827848794945471e-05,0.001119097195554808
10,2,W 인코딩 + 되돌림,0.00046163834963083026,0.003427497940844404,0.00038335986168137556,0.002308400745289596
10,3,M·b 인코딩 + 되돌림,0.0020758344892666965,0.009569488879740462,0.0016141961396358663,0.006141990938896058
12,1,U 인코딩,1.9592476172985704e-05,0.00025393589367728175,1.9592476172985704e-05,0.00025393589367728175
12,2,W 인코딩 + 되돌림,9.805330371403681e-05,0.0009321103702091271,7.84608275410511e-05,0.0006781744765318454
12,3,M·b 인코딩 + 되돌림,0.0005080560615432668,0.0025414202906399973,0.00041000275782923,0.0016093099204308701
14,1,U 인코딩,4.924781765157132e-06,6.137850598042505e-05,4.924781765157132e-06,6.137850598042505e-05
14,2,W 인코딩 + 되돌림,2.6575887249223316e-05,0.00022090441366673375,2.1651105484066184e-05,0.0001595259076863087
14,3,M·b 인코딩 + 되돌림,0.0001280924231124699,0.0006634229228728028,0.00010151653586324658,0.00044251850920606906
16,1,U 인코딩,1.2241157672869974e-06,1.4489116790805667e-05,1.2241157672869974e-06,1.4489116790805667e-05
16,2,W 인코딩 + 되돌림,6.179233293868304e-06,5.918228446599727e-05,4.9551175265813065e-06,4.46931676751916e-05
16,3,M·b 인코딩 + 되돌림,3.202478469132892e-05,0.00016015406367603235,2.5845551397460617e-05,0.00010097177921003508
18,1,U 인코딩,3.06588610342011e-07,3.699915135157994e-06,3.06588610342011e-07,3.699915135157994e-06
18,2,W 인코딩 + 되돌림,1.3561647851763288e-06,1.2670246243295935e-05,1.049576174834318e-06,8.970331108137941e-06
18,3,M·b 인코딩 + 되돌림,7.816918072474828e-06,3.715870615605965e-05,6.460753287298499e-06,2.4488459912763716e-05
20,1,U 인코딩,7.683205250369555e-08,9.9688227495065e-07,7.683205250369555e-08,9.9688227495065e-07
20,2,W 인코딩 + 되돌림,5.466274273346529e-07,4.600004974819605e-06,4.6979537483095736e-07,3.6031226998689547e-06
20,3,M·b 인코딩 + 되돌림,2.049328495753207e-06,1.0167324653920229e-05,1.5027010684185538e-06,5.567319679100624e-06
22,1,U 인코딩,1.990932408610624e-08,2.570170791749149e-07,1.990932408610624e-08,2.570170791749149e-07
22,2,W 인코딩 + 되돌림,1.2655728938577007e-07,9.857470528729095e-07,1.0664796529966383e-07,7.287299736979946e-07
22,3,M·b 인코딩 + 되돌림,5.09305217958434e-07,2.4149455107869144e-06,3.827479285726639e-07,1.429198457914005e-06
24,1,U 인코딩,4.4096806180673346e-09,5.042142126043814e-08,4.4096806180673346e-09,5.042142126043814e-08
24,2,W 인코딩 + 되돌림,3.169476076447389e-08,2.236266066768522e-07,2.728508014640656e-08,1.7320518541641405e-07
24,3,M·b 인코딩 + 되돌림,1.2754707705664264e-07,6.458070588299947e-07,9.585231629216875e-08,4.221804521531425e-07
