setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
DINOv2-L,dinol,emotion,1024,4,0,A_kept,lr,wd=1e-05,0.8918721270371918,0.867483449603663,0.8374485596707819,0.7763347293319887,2.612496852874756
DINOv2-L,dinol,emotion,1024,4,0,A_kept,lr,wd=0.001,0.8881111575428333,0.8643925738368834,0.831275720164609,0.7671812152285107,0.2780022621154785
DINOv2-L,dinol,emotion,1024,4,0,A_kept,lr,wd=0.1,0.8972001671541997,0.8708571777228574,0.8407407407407408,0.773687486652427,0.2760004997253418
DINOv2-L,dinol,emotion,1024,4,0,A_kept,mlp,"h=256,seed=0",0.9059757626410364,0.8991009297735818,0.8440329218106996,0.7778431925895528,1.7430016994476318
DINOv2-L,dinol,emotion,1024,4,0,A_kept,mlp,"h=256,seed=1",0.9009611366485583,0.8970583841008463,0.837037037037037,0.7838064454169765,1.7139947414398193
DINOv2-L,dinol,emotion,1024,4,0,A_kept,mlp,"h=1024,seed=0",0.9085875470121186,0.9043564485428822,0.8432098765432099,0.7809467709589698,2.831500768661499
DINOv2-L,dinol,emotion,1024,4,0,A_kept,mlp,"h=1024,seed=1",0.911199331383201,0.9013459162476009,0.8473251028806584,0.7848906364224827,2.786499500274658
DINOv2-L,dinol,emotion,1024,4,0,A_kept,rff,gamma x0.5,0.9003343083994986,0.8796997954756961,0.8440329218106996,0.783602581764604,2.151580810546875
DINOv2-L,dinol,emotion,1024,4,0,A_kept,rff,gamma x2.0,0.9011700793982449,0.8873670634148884,0.8390946502057613,0.7806122644200305,0.35996508598327637
DINOv2-L,dinol,emotion,1024,4,0,A_kept,tree,"depth=None,it=25",0.9695988299206018,0.9734779394167241,0.8547325102880658,0.7668306816036046,102.22409772872925
DINOv2-L,dinol,emotion,1024,4,0,A_kept,tree,"depth=6,it=30",0.9502716255745925,0.9580180738414832,0.854320987654321,0.7786899209390667,93.0824384689331
DINOv2-L,dinol,emotion,1024,4,0,A_kept,knn,k=15,1.0,1.0,0.8728395061728395,0.7677482437848508,1.466827392578125
DINOv2-L,dinol,emotion,1024,4,0,A_kept,knn,k=50,1.0,1.0,0.8753086419753087,0.7680712167361883,1.3777122497558594
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,lr,wd=1e-05,0.574286772878844,0.5850738937747961,0.6175548589341693,0.6117154811715482,0.37709903717041016
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,lr,wd=0.001,0.5739162652834383,0.584376543705061,0.6175548589341693,0.6117154811715482,0.22100019454956055
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,lr,wd=0.1,0.5872545387180437,0.5814411291582401,0.6081504702194357,0.5804916317991632,0.21100163459777832
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,mlp,"h=256,seed=0",0.6598740274175621,0.6518048770876522,0.6504702194357367,0.6274450836820085,0.5854642391204834
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,mlp,"h=256,seed=1",0.6065209336791404,0.6439630312984221,0.5924764890282131,0.6282426778242678,0.5618798732757568
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,mlp,"h=1024,seed=0",0.6917376806224528,0.6378937635371059,0.664576802507837,0.6098326359832635,0.8486495018005371
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,mlp,"h=1024,seed=1",0.6028158577250834,0.6485616011326485,0.5611285266457681,0.6031642259414226,0.8407034873962402
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,rff,gamma x0.5,0.609484994442386,0.628178009336469,0.6159874608150471,0.625222280334728,0.9900469779968262
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,rff,gamma x2.0,0.6520933679140423,0.6638653037730087,0.6300940438871473,0.6221626569037657,0.27199363708496094
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,tree,"depth=None,it=10",0.8025194516487588,0.8099049042498245,0.6489028213166145,0.5993723849372385,74.2923002243042
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,tree,"depth=6,it=13",0.7580585402000741,0.7867537263544846,0.6363636363636364,0.6221888075313807,70.45377492904663
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,knn,k=15,1.0,1.0,0.7366771159874608,0.5311323221757323,0.19299745559692383
DINOv2-L,dinol,emotion,1024,4,0,Aprime_heldout,knn,k=50,1.0,1.0,0.7633228840125392,0.532282949790795,0.17300009727478027
DINOv2-L,dinol,emotion,1024,4,0,B_gender,lr,wd=1e-05,0.5716642069624099,0.5580028015391373,0.5695364238410596,0.557861103697773,0.45047974586486816
DINOv2-L,dinol,emotion,1024,4,0,B_gender,lr,wd=0.001,0.5717510200538242,0.5580789978207586,0.5698849773440223,0.5581697456730816,0.22600007057189941
DINOv2-L,dinol,emotion,1024,4,0,B_gender,lr,wd=0.1,0.5648059727406893,0.5516378987915396,0.5632624607877309,0.5523055481422174,0.23302817344665527
DINOv2-L,dinol,emotion,1024,4,0,B_gender,mlp,"h=256,seed=0",0.5875510026912059,0.5694055896866665,0.5657023353084698,0.5512573021380067,1.5208277702331543
DINOv2-L,dinol,emotion,1024,4,0,B_gender,mlp,"h=256,seed=1",0.598402639117979,0.5803610532444305,0.5841756709654932,0.5694488924472911,1.461989164352417
DINOv2-L,dinol,emotion,1024,4,0,B_gender,mlp,"h=1024,seed=0",0.5973608820210088,0.5784351795450013,0.5852213314743813,0.5697330704069429,3.1860482692718506
DINOv2-L,dinol,emotion,1024,4,0,B_gender,mlp,"h=1024,seed=1",0.5992707700321208,0.56997164336242,0.582084349947717,0.5568706817305696,3.1989355087280273
DINOv2-L,dinol,emotion,1024,4,0,B_gender,rff,gamma x0.5,0.5838180397603958,0.5699531822500078,0.585569884977344,0.573892200179897,1.2454664707183838
DINOv2-L,dinol,emotion,1024,4,0,B_gender,rff,gamma x2.0,0.5962323118326244,0.5853640761939451,0.5799930289299408,0.5717042770018483,0.44525933265686035
DINOv2-L,dinol,emotion,1024,4,0,B_gender,tree,"depth=None,it=19",0.6926816563937842,0.6879047495139086,0.5576856047403277,0.5507593729304431,80.9880383014679
DINOv2-L,dinol,emotion,1024,4,0,B_gender,tree,"depth=6,it=24",0.6723673930028649,0.6635616284810111,0.5580341582432904,0.5504262669394775,78.81615138053894
DINOv2-L,dinol,emotion,1024,4,0,B_gender,knn,k=15,1.0,1.0,0.5597769257581039,0.5362008125018534,1.8409416675567627
DINOv2-L,dinol,emotion,1024,4,0,B_gender,knn,k=50,1.0,1.0,0.5866155454862322,0.5514401644772609,1.8708393573760986
DINOv2-L,dinol,emotion,1024,4,0,B_race,lr,wd=1e-05,0.3149702550729362,0.376959557433367,0.3054106910039113,0.3448147483525583,0.4604816436767578
DINOv2-L,dinol,emotion,1024,4,0,B_race,lr,wd=0.001,0.3142368185151984,0.37694896027583996,0.3054106910039113,0.3453630958393039,0.22100019454956055
DINOv2-L,dinol,emotion,1024,4,0,B_race,lr,wd=0.1,0.34129247820063563,0.37701372274565154,0.33148631029986964,0.3515749157474233,0.20699763298034668
DINOv2-L,dinol,emotion,1024,4,0,B_race,mlp,"h=256,seed=0",0.358487490832043,0.413927247057085,0.33735332464146023,0.38079897959135284,1.5602443218231201
DINOv2-L,dinol,emotion,1024,4,0,B_race,mlp,"h=256,seed=1",0.4222964713552278,0.43675764150656265,0.40091264667535853,0.39037208860410827,1.500441551208496
DINOv2-L,dinol,emotion,1024,4,0,B_race,mlp,"h=1024,seed=0",0.3709559123135849,0.4072783026623601,0.3608213820078227,0.3909490758287755,3.3490264415740967
DINOv2-L,dinol,emotion,1024,4,0,B_race,mlp,"h=1024,seed=1",0.4935213104066498,0.41596081183757977,0.47555410691003913,0.37440966104994367,3.3543121814727783
DINOv2-L,dinol,emotion,1024,4,0,B_race,rff,gamma x0.5,0.4062423600358569,0.40787601496485143,0.3855932203389831,0.38793817754666976,2.0007307529449463
DINOv2-L,dinol,emotion,1024,4,0,B_race,rff,gamma x2.0,0.4132507538097955,0.44056763208574473,0.38722294654498046,0.3798638149978005,0.44403076171875
DINOv2-L,dinol,emotion,1024,4,0,B_race,tree,"depth=None,it=12",0.5902534430771739,0.6831809884580297,0.44198174706649285,0.36191184769957907,82.19706892967224
DINOv2-L,dinol,emotion,1024,4,0,B_race,tree,"depth=6,it=13",0.5455138130551708,0.637968599506087,0.4181877444589309,0.360716968478698,81.33070516586304
DINOv2-L,dinol,emotion,1024,4,0,B_race,knn,k=15,1.0,1.0,0.7601043024771839,0.3328328341551207,1.9533822536468506
DINOv2-L,dinol,emotion,1024,4,0,B_race,knn,k=50,1.0,1.0,0.766297262059974,0.3333333333333333,2.0504255294799805
DINOv2-L,dinol,emotion,1024,4,0,B_age,lr,wd=1e-05,0.2834324830902127,0.30263200177731214,0.29172099087353326,0.32894119206281797,0.4756901264190674
DINOv2-L,dinol,emotion,1024,4,0,B_age,lr,wd=0.001,0.28335099013935294,0.3024640739106999,0.29172099087353326,0.32894119206281797,0.2350006103515625
DINOv2-L,dinol,emotion,1024,4,0,B_age,lr,wd=0.1,0.2847363703039687,0.30333184407621316,0.2900912646675359,0.326949160190308,0.2109980583190918
DINOv2-L,dinol,emotion,1024,4,0,B_age,mlp,"h=256,seed=0",0.29606389047347403,0.37147048642096836,0.2848761408083442,0.3399054203749115,1.5575060844421387
DINOv2-L,dinol,emotion,1024,4,0,B_age,mlp,"h=256,seed=1",0.32564583163556354,0.3768448544468301,0.3155149934810952,0.35709129461839073,1.504899024963379
DINOv2-L,dinol,emotion,1024,4,0,B_age,mlp,"h=1024,seed=0",0.32295656425719177,0.37657363870192684,0.3122555410691004,0.349288318537414,3.3558661937713623
DINOv2-L,dinol,emotion,1024,4,0,B_age,mlp,"h=1024,seed=1",0.32263059245375275,0.37648869694495646,0.3155149934810952,0.3600873150524196,3.3649141788482666
DINOv2-L,dinol,emotion,1024,4,0,B_age,rff,gamma x0.5,0.3367288729524896,0.36770353828995794,0.3305084745762712,0.34869172190008696,1.5036239624023438
