setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
A=race,clip,race,768,2,0,A_kept,lr,wd=1e-05,0.8955260369977996,0.8572372049121292,0.8859191655801826,0.8365651226505997,4.576997756958008
A=race,clip,race,768,2,0,A_kept,lr,wd=0.001,0.8955260369977996,0.8572372049121292,0.8859191655801826,0.8365651226505997,0.4994995594024658
A=race,clip,race,768,2,0,A_kept,lr,wd=0.1,0.8949555863417814,0.8571587551695506,0.8852672750977836,0.8375642731605967,0.458500862121582
A=race,clip,race,768,2,0,A_kept,mlp,"h=256,seed=0",0.8710781517398745,0.8668513061229319,0.8582138200782269,0.8402587305644285,2.562998056411743
A=race,clip,race,768,2,0,A_kept,mlp,"h=256,seed=1",0.8630103496047592,0.8656664539741928,0.8500651890482399,0.8421976144776804,1.9169998168945312
A=race,clip,race,768,2,0,A_kept,mlp,"h=1024,seed=0",0.8755602640371608,0.8661031765044355,0.8598435462842242,0.8373055182091115,2.866501808166504
A=race,clip,race,768,2,0,A_kept,mlp,"h=1024,seed=1",0.8599951104229484,0.8647073223087203,0.8494132985658409,0.842824719361993,2.86099910736084
A=race,clip,race,768,2,0,A_kept,rff,gamma x0.5,0.8684703773123624,0.8655142791848708,0.8520208604954368,0.8401205560601192,2.1679587364196777
A=race,clip,race,768,2,0,A_kept,rff,gamma x2.0,0.8710781517398745,0.8669589761032319,0.8543024771838331,0.8258967299523584,0.4160079956054687
A=race,clip,race,768,2,0,A_kept,tree,"depth=None,it=32",0.9093798386439572,0.928590064955686,0.8657105606258149,0.8297721832665336,78.89206027984619
A=race,clip,race,768,2,0,A_kept,tree,"depth=6,it=35",0.8989487409339092,0.9099555302698692,0.8666883963494133,0.8296394657425118,73.42250156402588
A=race,clip,race,768,2,0,A_kept,knn,k=15,1.0,1.0,0.8940677966101694,0.7921396918308501,1.8784992694854736
A=race,clip,race,768,2,0,A_kept,knn,k=50,1.0,1.0,0.8976531942633638,0.7962647474233663,1.737999677658081
A=race,clip,race,768,2,0,B_emotion,lr,wd=1e-05,0.1144975959579496,0.17335162747055,0.1153846153846153,0.1795280011379995,0.3644976615905761
A=race,clip,race,768,2,0,B_emotion,lr,wd=0.001,0.1144975959579496,0.17335162747055,0.1153846153846153,0.1795280011379995,0.309497594833374
A=race,clip,race,768,2,0,B_emotion,lr,wd=0.1,0.1144161030070898,0.1729351313357861,0.1163624511082138,0.1815017536019481,0.3620040416717529
A=race,clip,race,768,2,0,B_emotion,mlp,"h=256,seed=0",0.162741422866922,0.1920019950940983,0.1515645371577575,0.1791995572064312,2.224495410919189
A=race,clip,race,768,2,0,B_emotion,mlp,"h=256,seed=1",0.161111563849727,0.1912552730649801,0.1499348109517601,0.1752392687773891,2.2724995613098145
A=race,clip,race,768,2,0,B_emotion,mlp,"h=1024,seed=0",0.1814033086138049,0.1906859170856456,0.1701434159061277,0.1829289323351104,5.442096471786499
A=race,clip,race,768,2,0,B_emotion,mlp,"h=1024,seed=1",0.1591557330290929,0.1908178839466501,0.1489569752281616,0.1776565131484997,5.571970224380493
A=race,clip,race,768,2,0,B_emotion,rff,gamma x0.5,0.1739874500855676,0.2059398289024543,0.1597131681877444,0.1833054372735206,1.136998414993286
A=race,clip,race,768,2,0,B_emotion,rff,gamma x2.0,0.1772471681199576,0.2257914182979131,0.1499348109517601,0.1658479887272401,0.4581301212310791
A=race,clip,race,768,2,0,B_emotion,tree,"depth=None,it=10",0.3416184500040746,0.4689257594186299,0.1776401564537157,0.169043447654843,75.38599872589111
A=race,clip,race,768,2,0,B_emotion,tree,"depth=6,it=17",0.3386032108222638,0.4486895595653811,0.1734028683181225,0.1758359657565079,76.47800040245056
A=race,clip,race,768,2,0,B_emotion,knn,k=15,1.0,1.0,0.3191003911342894,0.1524728559274517,1.6770005226135254
A=race,clip,race,768,2,0,B_emotion,knn,k=50,1.0,1.0,0.3526727509778357,0.15142730221112,1.8254992961883545
A=race,clip,race,768,2,0,B_gender,lr,wd=1e-05,0.561854327632607,0.5403876415503104,0.5458347856395956,0.5263304470737084,0.500497579574585
A=race,clip,race,768,2,0,B_gender,lr,wd=0.001,0.561854327632607,0.5403876415503104,0.5458347856395956,0.5263304470737084,0.2584998607635498
