d,r,f,form,real_params,nbits_requested,nbits,src_bytes,compile_s,nonlinear,linear,pub_out,priv_in,wires,constraints,r1cs_bytes,wasm_bytes,setup_s,zkey_bytes,vkey_bytes,witness_s,prove_s,proof_bytes,verify_ms,stage_failed,note
64,4,16,commit,False,48,48,3066,3.051,3042,0,1,65,3108,3042,3378016,3857601,19.86,4829580,2927,0.294,0.814,808,6.755,,
128,4,16,commit,False,48,48,5317,2.728,5478,0,1,129,5608,5478,6082320,4035459,20.9,8751372,2927,0.267,1.002,804,7.457,,
192,4,16,commit,False,48,48,7665,3.373,7914,0,1,193,8108,7914,8786624,4051114,23.16,12411020,2927,0.279,1.142,806,7.064,,
256,4,16,commit,False,48,48,10572,4.138,10959,0,1,257,11217,10959,12166876,4070640,27.18,17504748,2927,0.311,1.425,803,7.989,,
384,4,16,commit,False,48,48,15300,4.48,15831,0,1,385,16217,15831,17575484,4101944,32.57,24824044,2926,0.657,1.667,808,7.256,,
512,4,16,commit,False,48,48,20571,5.298,21312,0,1,513,21826,21312,23660040,4137097,41.12,34101708,2927,0.672,2.159,807,7.28,,
640,4,16,commit,False,48,48,25299,6.124,26184,0,1,641,26826,26184,29068648,4168405,48.69,41421004,2925,0.797,2.662,802,7.678,,
768,4,16,commit,False,48,48,30570,8.026,31665,0,1,769,32435,31665,35153204,4203558,64.5,49650092,2929,0.675,2.757,805,7.595,,
896,4,16,commit,False,48,48,35298,8.191,36537,0,1,897,37435,36537,40561812,4234862,73.8,59066540,2927,0.746,3.778,804,7.954,,
1024,4,16,commit,False,48,48,40595,10.039,42018,0,1,1025,43044,42018,46646368,4270101,83.44,67295628,2926,0.808,4.147,805,7.703,,
