system,form,d,r,f,b_bits,k,lookup_bits,max_cols,advice_cells,tap_advice,pos_advice,lookup_cells,fixed,advice_cols,lookup_cols,pos_cols,srs_s,keygen_s,prove_s,verify_ms,proof_bytes,srs_bytes,pk_bytes,vk_bytes,instances,stage_failed
halo2-kzg-custom,factored,64,4,16,48,13,12,4,13673,5189,8484,680,584,4,1,6,0.34,0.26,0.673,3.263,3328,1048836,19139070,2250,65,
halo2-kzg-custom,factored,128,4,16,48,13,12,4,26889,10181,16708,1320,1151,4,1,6,0.32,0.29,0.568,3.377,3328,1048836,19139070,2250,129,
halo2-kzg-custom,factored,192,4,16,48,13,12,4,40105,15173,24932,1960,1716,4,1,6,0.33,0.32,0.587,3.619,3328,1048836,19139070,2250,193,
halo2-kzg-custom,factored,256,4,16,48,14,12,4,53321,20165,33156,2600,2274,4,1,6,0.62,0.49,1.136,3.91,3328,2097412,38275582,2250,257,
halo2-kzg-custom,factored,384,4,16,48,14,12,4,79753,30149,49604,3880,3400,4,1,6,0.62,0.65,1.044,4.398,3328,2097412,38275582,2250,385,
halo2-kzg-custom,factored,512,4,16,48,15,12,4,106185,40133,66052,5160,4497,4,1,6,1.24,0.9,2.016,5.041,3328,4194564,76548606,2250,513,
halo2-kzg-custom,factored,640,4,16,48,15,12,4,132617,50117,82500,6440,5560,4,1,6,1.22,0.95,2.004,5.397,3328,4194564,76548606,2250,641,
halo2-kzg-custom,factored,768,4,16,48,15,12,4,159049,60101,98948,7720,6622,4,1,6,1.24,1.15,2.488,6.286,3328,4194564,76548606,2250,769,
halo2-kzg-custom,factored,896,4,16,48,15,12,4,185481,70085,115396,9000,7701,4,1,6,1.52,1.2,2.5,6.729,3328,4194564,76548606,2250,897,
halo2-kzg-custom,factored,1024,4,16,48,16,12,4,211913,80069,131844,10280,8760,4,1,6,3.06,1.93,4.853,7.163,3328,8388868,153094654,2250,1025,
halo2-kzg-custom,factored,768,1,16,48,15,12,4,145078,46130,98948,7690,2287,4,1,6,1.52,1.13,2.433,6.252,3328,4194564,76548606,2250,769,
halo2-kzg-custom,factored,768,2,16,48,15,12,4,149735,50787,98948,7700,3775,4,1,6,1.55,1.13,2.441,6.255,3328,4194564,76548606,2250,769,
halo2-kzg-custom,factored,768,8,16,48,15,12,4,177677,78729,98948,7760,12095,4,1,6,1.53,1.19,2.479,6.34,3328,4194564,76548606,2250,769,
halo2-kzg-custom,factored,768,12,16,48,15,12,4,196305,97357,98948,7800,17194,4,1,6,1.55,1.23,2.585,6.153,3328,4194564,76548606,2250,769,
halo2-kzg-custom,factored,768,16,16,49,15,12,4,214933,115985,98948,7840,21849,4,1,6,1.52,1.32,2.502,6.369,3328,4194564,76548606,2250,769,
