d,r,f,form,real_params,nbits_requested,nbits,src_bytes,compile_s,nonlinear,linear,pub_out,priv_in,wires,constraints,r1cs_bytes,wasm_bytes,setup_s,zkey_bytes,vkey_bytes,witness_s,prove_s,proof_bytes,verify_ms,stage_failed,note
768,4,16,commit,True,48,48,30570,7.015,31665,0,1,769,32435,31665,35153204,4203558,61.89,49650092,2929,0.633,2.479,805,6.668,,
768,4,16,commit,True,,45,30570,7.025,31665,0,1,769,32435,31665,35153204,4203558,61.72,49650092,2929,0.644,2.49,804,6.541,,
768,1,16,tap_direct,False,48,48,8240210,95.843,36864,0,768,768,36865,36864,49690200,26279964,66.31,75857008,143260,0.081,,,,witness,WASM 함수 크기 한계 초과
768,2,16,tap_direct,False,48,48,8424555,111.45,36864,0,768,768,36865,36864,49729728,26537846,66.15,75905320,143260,0.08,,,,witness,WASM 함수 크기 한계 초과
768,3,16,tap_direct,False,48,48,8512669,97.81,36864,0,768,768,36865,36864,49729728,26722128,68.96,75905320,143261,0.098,,,,witness,WASM 함수 크기 한계 초과
64,4,16,tap_direct,False,48,48,59807,0.567,3072,0,64,64,3073,3072,900288,377654,9.3,2274344,14462,0.079,0.706,806,6.456,,
128,4,16,tap_direct,False,48,48,230853,2.537,6144,0,128,128,6145,6144,2390208,1208439,17.64,5268264,26169,0.096,0.763,806,6.114,,
192,4,16,tap_direct,False,48,48,536836,4.966,9216,0,192,192,9217,9216,4469952,2385197,19.13,9245224,37878,0.129,0.931,804,6.449,,
256,4,16,tap_direct,False,48,48,950639,9.726,12288,0,256,256,12289,12288,7139520,3850841,24.7,13418792,49628,0.168,1.05,803,6.569,,
384,4,16,tap_direct,False,48,48,2140672,23.8,18432,0,384,384,18433,18432,14248128,7627841,30.09,24977192,73020,0.269,1.477,808,8.317,,
512,4,16,tap_direct,False,48,48,3804407,41.35,24576,0,512,512,24577,24576,23716032,12705966,40.35,38370600,96433,0.072,,,,witness,WASM 함수 크기 한계 초과
640,4,16,tap_direct,False,48,48,5947025,71.937,30720,0,640,640,30721,30720,35543232,19110552,52.09,54647592,119864,0.076,,,,witness,WASM 함수 크기 한계 초과
768,4,16,tap_direct,False,48,48,8558768,118.438,36864,0,768,768,36865,36864,49729728,26881638,72.76,75905320,143259,0.083,,,,witness,WASM 함수 크기 한계 초과
896,4,16,tap_direct,False,48,48,11651671,161.403,43008,0,896,896,43009,43008,66275520,36041149,77.32,97949480,166707,0.081,,,,witness,WASM 함수 크기 한계 초과
1024,4,16,tap_direct,False,48,48,15250888,216.608,49152,0,1024,1024,49153,49152,85180608,46542728,95.19,122877224,190112,0.104,,,,witness,WASM 함수 크기 한계 초과
768,6,16,tap_direct,False,48,48,8637496,108.044,36864,0,768,768,36865,36864,49729728,27156231,72.99,75905320,143259,0.085,,,,witness,WASM 함수 크기 한계 초과
768,8,16,tap_direct,False,48,48,8682121,93.532,36864,0,768,768,36865,36864,49729728,27346956,65.78,75905320,143260,0.083,,,,witness,WASM 함수 크기 한계 초과
768,12,16,tap_direct,False,48,48,8737400,101.291,36864,0,768,768,36865,36864,49729728,27695330,64.78,75905320,143260,0.085,,,,witness,WASM 함수 크기 한계 초과
768,16,16,tap_direct,False,48,,,,,,,,,,,,,,,,,,,generate,--nbits 48 는 필요한 49 보다 작다
768,1,16,tap_factored,False,48,48,87513,1.211,36912,0,768,768,36145,36912,7376340,454711,31.65,23916004,143288,0.112,1.6,804,11.995,,
768,2,16,tap_factored,False,48,48,108462,1.283,36960,0,768,768,36959,36960,7502552,577869,31.62,24322080,143277,0.115,1.626,806,11.717,,
768,3,16,tap_factored,False,48,48,129421,1.465,37008,0,768,768,37006,37008,7622628,696687,32.17,24482716,143254,0.119,1.673,805,11.414,,
